2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 23.1.106.35, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 23.1.106.35, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 192.168.100.221, Dst: 23.1.106.35, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 23.1.106.35, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 192.168.100.221, Dst: 23.1.106.35, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 23.1.106.35, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 23.1.106.35, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 192.168.100.221, Dst: 23.1.106.35, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 23.1.106.35, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:46 - 2025-03-27 13:22:46 - Src: 192.168.100.221, Dst: 23.1.106.35, Protocol: 6
2025-03-27 13:22:47 - 2025-03-27 13:22:47 - Src: 192.168.100.5, Dst: 239.255.255.250, Protocol: 17
2025-03-27 13:22:48 - 2025-03-27 13:22:48 - Src: 192.168.100.221, Dst: 35.186.224.24, Protocol: 17
2025-03-27 13:22:48 - 2025-03-27 13:22:48 - Src: 35.186.224.24, Dst: 192.168.100.221, Protocol: 17
2025-03-27 13:22:48 - 2025-03-27 13:22:48 - Src: 192.168.100.221, Dst: 35.186.224.24, Protocol: 17
2025-03-27 13:22:48 - 2025-03-27 13:22:48 - Src: 35.186.224.24, Dst: 192.168.100.221, Protocol: 17
2025-03-27 13:22:48 - 2025-03-27 13:22:48 - Src: 35.186.224.24, Dst: 192.168.100.221, Protocol: 17
2025-03-27 13:22:48 - 2025-03-27 13:22:48 - Src: 192.168.100.221, Dst: 35.186.224.24, Protocol: 17
2025-03-27 13:22:49 - 2025-03-27 13:22:49 - Src: 35.186.224.24, Dst: 192.168.100.221, Protocol: 17
2025-03-27 13:22:49 - 2025-03-27 13:22:49 - Src: 52.123.128.14, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 192.168.100.5, Dst: 192.168.100.255, Protocol: 17
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 13.107.246.55, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 13.107.246.55, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 192.168.100.221, Dst: 13.107.246.55, Protocol: 6
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 192.168.100.221, Dst: 13.107.246.55, Protocol: 6
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 13.107.246.55, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 192.168.100.221, Dst: 13.107.246.55, Protocol: 6
2025-03-27 13:22:50 - 2025-03-27 13:22:50 - Src: 13.107.246.55, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:51 - 2025-03-27 13:22:51 - Src: 192.168.100.221, Dst: 20.199.120.85, Protocol: 6
2025-03-27 13:22:51 - 2025-03-27 13:22:51 - Src: 192.168.100.221, Dst: 2.17.165.4, Protocol: 6
2025-03-27 13:22:51 - 2025-03-27 13:22:51 - Src: 20.199.120.85, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:51 - 2025-03-27 13:22:51 - Src: 192.168.100.221, Dst: 20.199.120.85, Protocol: 6
2025-03-27 13:22:51 - 2025-03-27 13:22:51 - Src: 2.17.165.4, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:51 - 2025-03-27 13:22:51 - Src: 2.17.165.4, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:51 - 2025-03-27 13:22:51 - Src: 192.168.100.221, Dst: 2.17.165.4, Protocol: 6
2025-03-27 13:22:52 - 2025-03-27 13:22:52 - Src: 192.168.100.221, Dst: 35.186.224.24, Protocol: 6
2025-03-27 13:22:52 - 2025-03-27 13:22:52 - Src: 35.186.224.24, Dst: 192.168.100.221, Protocol: 6
2025-03-27 13:22:53 - 2025-03-27 13:22:53 - Src: 192.168.100.5, Dst: 239.255.255.250, Protocol: 17
2025-03-27 13:22:54 - 2025-03-27 13:22:54 - Src: 192.168.100.221, Dst: 104.18.32.47, Protocol: 6
2025-03-27 13:22:54 - 2025-03-27 13:22:54 - Src: 192.168.100.221, Dst: 104.18.32.47, Protocol: 6
